epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,994.588,0.3778,0.43754,0.92313,0.65521,0.99619,0.67295,0.64586,0.32729,0.46175,0.85304,0.000542448,0.000542448,0.000542448
96,1004.89,0.38376,0.4553,0.9229,0.65806,0.99967,0.67545,0.64862,0.3314,0.46811,0.85872,0.000533017,0.000533017,0.000533017
97,1015.26,0.37134,0.44191,0.91428,0.6535,0.99189,0.66773,0.64285,0.32474,0.4721,0.85284,0.000523586,0.000523586,0.000523586
98,1025.61,0.37035,0.43447,0.91815,0.64931,0.99803,0.67681,0.65058,0.31958,0.47447,0.84674,0.000514154,0.000514154,0.000514154
99,1036.04,0.3691,0.44724,0.91808,0.66189,0.99875,0.67372,0.64717,0.31388,0.45965,0.84299,0.000504723,0.000504723,0.000504723
100,1046.49,0.37949,0.42754,0.91939,0.65681,0.99814,0.69749,0.67064,0.33866,0.46935,0.853,0.000495291,0.000495291,0.000495291
101,1056.88,0.37265,0.43781,0.92455,0.6537,0.99898,0.69,0.66015,0.3247,0.46797,0.84493,0.00048586,0.00048586,0.00048586
102,1067.41,0.37426,0.43523,0.92669,0.65637,0.99916,0.67575,0.64617,0.32271,0.47059,0.84883,0.000476429,0.000476429,0.000476429
103,1077.86,0.37631,0.43833,0.93052,0.65337,1,0.72331,0.70008,0.30977,0.45911,0.84325,0.000466997,0.000466997,0.000466997
104,1088.21,0.37018,0.43522,0.92287,0.65655,0.99472,0.72317,0.69462,0.32597,0.45877,0.8517,0.000457566,0.000457566,0.000457566
105,1098.48,0.37164,0.42908,0.92355,0.65717,1,0.69504,0.67079,0.31359,0.45467,0.84311,0.000448134,0.000448134,0.000448134
106,1108.83,0.35875,0.44467,0.91823,0.65093,0.99562,0.67896,0.65249,0.30772,0.47285,0.83627,0.000438703,0.000438703,0.000438703
107,1119.07,0.36383,0.42895,0.92223,0.65181,0.99816,0.67138,0.64459,0.32979,0.47228,0.85867,0.000429272,0.000429272,0.000429272
108,1129.41,0.35983,0.42533,0.91281,0.65566,0.99806,0.67275,0.64583,0.31692,0.46948,0.8403,0.00041984,0.00041984,0.00041984
109,1139.87,0.36229,0.43848,0.91483,0.65295,0.98889,0.66831,0.642,0.31095,0.47183,0.84245,0.000410409,0.000410409,0.000410409
110,1150.12,0.36326,0.42958,0.91291,0.65582,0.99849,0.67689,0.65505,0.3196,0.46197,0.84841,0.000400977,0.000400977,0.000400977
111,1160.43,0.36029,0.41825,0.91317,0.6538,1,0.68781,0.66272,0.32714,0.46791,0.84762,0.000391546,0.000391546,0.000391546
112,1170.87,0.36052,0.43208,0.91886,0.65773,1,0.68702,0.66298,0.30433,0.45603,0.83627,0.000382115,0.000382115,0.000382115
113,1181.25,0.34358,0.41764,0.9105,0.65658,1,0.68574,0.66321,0.29785,0.45481,0.83063,0.000372683,0.000372683,0.000372683
114,1191.7,0.35808,0.43644,0.91602,0.65533,1,0.68403,0.66262,0.30633,0.45938,0.83478,0.000363252,0.000363252,0.000363252
115,1202.01,0.36119,0.42215,0.91548,0.65643,1,0.66856,0.64692,0.30574,0.44973,0.83397,0.00035382,0.00035382,0.00035382
116,1212.36,0.35192,0.4166,0.91858,0.65958,0.9993,0.67365,0.65004,0.30276,0.45519,0.83626,0.000344389,0.000344389,0.000344389
117,1222.7,0.34538,0.41823,0.90924,0.66087,1,0.67157,0.64933,0.31365,0.45582,0.84201,0.000334958,0.000334958,0.000334958
118,1233.06,0.34691,0.42901,0.90615,0.65996,1,0.66749,0.64628,0.30894,0.45682,0.83937,0.000325526,0.000325526,0.000325526
119,1243.57,0.3415,0.42768,0.90732,0.6587,1,0.66818,0.64303,0.32079,0.45646,0.84945,0.000316095,0.000316095,0.000316095
120,1253.88,0.35056,0.41689,0.91492,0.65495,0.99916,0.67766,0.65139,0.31579,0.45855,0.84125,0.000306663,0.000306663,0.000306663
121,1264.27,0.34364,0.41899,0.9092,0.65826,0.999,0.67015,0.64762,0.3077,0.45375,0.84086,0.000297232,0.000297232,0.000297232
122,1274.6,0.34339,0.41759,0.90677,0.65783,0.99843,0.67144,0.64776,0.30667,0.45564,0.83623,0.000287801,0.000287801,0.000287801
123,1284.99,0.34539,0.41718,0.91702,0.65839,1,0.66615,0.63946,0.31486,0.45808,0.84395,0.000278369,0.000278369,0.000278369
124,1295.37,0.34368,0.41685,0.91049,0.65776,1,0.66324,0.63908,0.30652,0.44862,0.83326,0.000268938,0.000268938,0.000268938
125,1306.04,0.33373,0.40944,0.90604,0.65797,1,0.66984,0.64551,0.30304,0.45007,0.83392,0.000259506,0.000259506,0.000259506
126,1316.65,0.3332,0.40698,0.90021,0.65796,1,0.66755,0.64265,0.30332,0.45624,0.83375,0.000250075,0.000250075,0.000250075
127,1327.29,0.33549,0.41694,0.91254,0.65593,1,0.66746,0.64365,0.29872,0.4486,0.82991,0.000240644,0.000240644,0.000240644
